,Items,Antecendete,Consequente,Suporte,Confiança,Lift
22,"{'771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'chrome'}","{'201.46.19.173', 'chrome'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
21,"{'771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'Windows 10'}","{'201.46.19.173', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
2,"{'771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173'}",{'201.46.19.173'},{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
20,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173'}","{'America/Sao_Paulo', '201.46.19.173'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
198,"{'1080', 'chrome', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'1080', 'chrome', '201.46.19.173', 'America/Sao_Paulo', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
6,"{'1080', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173'}","{'1080', '201.46.19.173'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
16,"{'771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', '1920'}","{'201.46.19.173', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
135,"{'187.34.105.191', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', 'amd radeon vega 8 mobile'}","{'187.34.105.191', '768', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
123,"{'Linux', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', 'chrome', '1366'}","{'Linux', '8', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
150,"{'Linux', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', '8', 'chrome'}","{'8', '768', 'chrome', 'Linux'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
151,"{'Linux', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}","{'Linux', 'America/Sao_Paulo', '768', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
152,"{'Linux', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome'}","{'Linux', 'America/Sao_Paulo', '768', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
153,"{'768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome', 'amd radeon vega 8 mobile'}","{'America/Sao_Paulo', '768', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
125,"{'Linux', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome', '1366'}","{'Linux', 'America/Sao_Paulo', 'chrome', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.3,1.0,3.3333
124,"{'Linux', '1366', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'amd radeon vega 8 mobile'}","{'Linux', 'amd radeon vega 8 mobile', 'America/Sao_Paulo', '1366'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
156,"{'Linux', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', 'chrome', 'amd radeon vega 8 mobile'}","{'Linux', 'America/Sao_Paulo', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
154,"{'Linux', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'chrome', 'amd radeon vega 8 mobile'}","{'Linux', '768', 'chrome', 'amd radeon vega 8 mobile'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
155,"{'Linux', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8', 'chrome'}","{'Linux', 'America/Sao_Paulo', '8', 'chrome'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
148,"{'Linux', '768', '6149ed31bcc27ca1262dd28a3f3f4ba1', 'America/Sao_Paulo', '8'}","{'8', 'America/Sao_Paulo', '768', 'Linux'}",{'6149ed31bcc27ca1262dd28a3f3f4ba1'},0.2,1.0,3.3333
